,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
149,7363086b152422c99618377e384874a17a708d9eb217c0a7c6f8b6f3216f1e4c,file,0,0,0,0,undetected,2,No,,,,0,0
150,concur2024.com,domain,0,0,0,0,undetected,7,No,,,,0,0
151,7zlp2024.top,domain,0,0,0,0,undetected,2,No,,,,0,0
152,45.88.91.8,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Edison,40.5237,-74.4151
153,103.35.191.137,ip_address,0,0,0,0,undetected,8,No,United States,New Jersey,Secaucus,40.7876,-74.06
154,newsconcur2024.life,domain,0,0,0,0,undetected,2,No,,,,0,0
155,3bdaa78077bd71e40b62ec2d6797c027f0b8deba9c3a7de9eb22823ad05c8201,file,0,0,0,0,undetected,3,No,,,,0,0
156,11464f7ac40e3e5f771dfe19aee3b3d21cf526a11429038ba9de4c9d7e4bb42a,file,0,0,0,0,undetected,2,No,,,,0,0
157,952cac8ec226b4ed38a2631c220bb80409edbc0c9a0ac2793b879a259172282b,file,0,0,0,0,undetected,2,No,,,,0,0
158,7zlp112024.top,domain,0,0,0,0,undetected,3,No,,,,0,0
159,188.124.59.18,ip_address,0,0,0,0,undetected,2,No,Czechia,Prague,Prague,50.0755,14.4378
160,4f71162cef29a8b7feb56574b99c0eccd82c39d226b408c1e7233971588edee5,file,0,0,0,0,undetected,2,No,,,,0,0
161,cnn-news.org,domain,0,0,0,0,undetected,3,No,,,,0,0
162,nmap.re,domain,0,0,0,0,undetected,2,No,,,,0,0
163,d6fce7c094994b19d96c9ebcccc07b9fb5efda2e4e1da352d9e0e031f0457c5e,file,0,0,0,0,undetected,2,No,,,,0,0
164,a38f1ccf9d3e29e39fcb01b53fc245eac2128c4219c6567891dba4f6529f98c1,file,0,0,0,0,undetected,2,No,,,,0,0
165,2.58.95.73,ip_address,0,0,0,0,undetected,2,No,Poland,Mazovia,Warsaw,52.2299,21.0093
166,webex-install.com,domain,0,0,0,0,undetected,17,No,,,,0,0
167,166.88.159.187,ip_address,0,0,0,0,undetected,2,No,United States,Illinois,Chicago,41.8835,-87.6305
